,rewards
0,14.066268743239108
1,36.9797578652825
2,56.54321804382204
3,88.14650044102729
4,125.18447347391086
5,108.022454326034
6,161.91353708942123
7,171.09307832534
8,186.05496911562085
9,202.08366558985975
10,211.51930358926114
11,207.3184410525087
12,223.5767392287699
13,237.25977901242544
14,274.69448689447734
15,276.1630047371816
16,268.5292651248748
17,304.5501623564468
18,282.7986911695995
19,282.4378557649466
20,318.3460998207862
21,313.431014528662
22,324.6081847463924
23,315.633762092093
24,337.9771438166313
25,343.88692565385816
26,387.55157821098584
27,404.10653029879234
28,452.07088633103854
29,386.59684663129076
30,473.0732120694065
31,475.5450869074879
32,445.3220995739759
33,416.9099049280549
34,408.98549860995274
35,483.73295461712473
36,502.49258194360027
37,492.26772818957284
38,543.2160556323928
