,rewards
0,-508.2899610533094
1,-2038.4302278342257
2,-1251.9375460283547
3,-355.7940348668481
4,-472.1328579165251
5,-459.49485048078634
6,-882.7835878531012
7,-238.43889853137063
8,-275.11425899188686
9,-350.8799372536931
10,-249.91506442538275
11,-197.40857282080407
12,-144.92085704511146
13,-1551.4602546510368
14,-204.89939964717598
15,-466.72254344759693
16,-240.66264540115603
17,-484.1837527005074
18,-178.74133432725787
19,-135.63568495204072
20,-142.19454232403893
21,-228.30340937448122
22,-296.4942689926119
23,-252.15947670539325
24,-151.3137966057774
25,-233.58163769482786
26,-406.69945918606476
27,-196.35032973796683
28,-147.7303397296958
29,-216.2465670391658
30,-902.0775406912704
31,-189.62581439127476
32,-305.95593070992373
33,-255.61225315280558
34,-252.97178831971428
35,-353.28455192299515
36,-132.52099643943598
37,-72.44167299114102
38,-140.37372845395262
39,-97.0394145830107
40,-140.8127657572669
41,-90.16394119560886
42,-109.1170946577265
43,-96.32556998063603
44,-84.04836519742499
45,-103.21430535434985
46,-57.345493489132245
47,-116.72819643259842
48,-216.70021761248785
49,-99.53580753377673
50,-184.67050599680445
51,-73.43969570533065
52,-98.8276351792086
53,-76.35543123434137
54,-54.92123508824957
55,-58.22075764140057
56,-116.58234544398233
57,-38.41882126234507
58,-64.12309058521322
59,-49.158484346515145
60,-109.37281934077086
61,-160.77597381680758
62,-300.2453166386872
63,-101.07836101042197
64,-52.58130796487253
65,-66.72641149919009
66,-60.56588559557614
67,-29.19832051643319
68,-48.50572220769691
69,-50.5322754910385
70,-102.26049162861817
71,-65.02193335296563
72,-95.72429530210108
73,-9.512870289305027
74,-70.20034350525054
75,-41.28707719076216
76,-88.39283722753241
77,-34.411608499827395
78,-71.02165982036342
79,-19.8534312889284
80,-11.535180011933987
81,-28.276801938807257
82,-41.52974972891805
83,-54.91311335763477
84,-68.74398456992259
85,-20.445800219853144
86,-17.185579053643874
87,-77.10922710186284
88,-23.504191366347087
89,-5.609865401804361
90,3.428981312069965
91,-10.33724885922594
92,-25.921632946925847
93,-24.01634174115491
94,-2.2307072503905245
95,-20.8014008872888
96,0.29290367359831027
97,-3.7866628925990966
98,4.73925851389155
99,6.657343064372643
100,23.56869358723375
101,14.974447698429495
102,24.557835405856107
103,12.225370773795214
104,60.83712913907847
105,34.49899874008681
106,20.581114220959176
107,48.66618536433204
108,27.08042619266553
109,45.051579040247304
110,78.4758631707458
111,40.35075217141772
112,72.76784623557458
113,76.30107140641567
114,70.81008479367507
115,89.35600755194457
116,63.776264128395475
117,136.0263352889512
118,221.42650451842104
119,99.23028776034788
120,110.75302513068819
121,151.2551109730014
122,128.2345242365042
123,91.38676820580892
124,180.71595826506476
125,310.4551868704823
126,127.93419854163767
127,214.02214293082181
128,197.42434349085295
129,216.74552452980848
130,280.99304866826964
131,252.7976366895232
132,229.01364645958017
133,160.75355764955015
134,369.19863178756776
135,294.61257091084184
136,302.4664993142878
137,293.5008594238993
138,225.6683838679519
139,226.40992076629172
140,350.32389373172794
141,545.2357557856056
142,319.5466629777808
143,274.79459214611273
144,317.5433997599642
145,405.8422774027828
146,511.6685480328512
147,527.1089530403598
148,501.8885867911485
149,516.5209753736723
150,458.8567264705632
151,362.6609648492926
152,541.1545305751773
153,783.5328890457334
154,238.62322267558255
155,534.1067357682697
156,308.8537026760019
157,512.8134179232912
158,604.4437281187621
159,385.06212164376416
160,364.2080734928711
161,651.7330277425581
162,767.6359236803765
163,629.9150502439782
164,536.6706440181986
165,411.0132468521212
166,759.0565537475036
167,794.3137811034181
168,554.2898704652873
169,403.7993591503793
170,755.9091359914612
171,518.8132645480289
172,409.42455888130434
173,808.9241748872523
174,494.9446034550303
175,389.56336610521794
176,637.2554924312734
177,893.5100621517313
178,481.1155844455014
179,537.1257993657694
180,575.5695161812323
181,623.9636374170617
182,1124.5456315631159
183,782.3357317462811
184,820.998364559878
185,673.2084381796716
186,511.91940427748136
187,803.6443214301047
188,544.2482526000738
189,648.897125312201
190,817.2028635777558
191,752.1156355183833
192,337.69728831513106
193,637.1611778847163
194,1234.6434213781013
195,1204.3468038774226
196,418.7600699888949
197,602.1911162750893
198,436.17915382817097
199,1022.5429863553122
200,679.6883652681247
201,495.8430766171643
202,318.60110584509914
203,599.6380750001896
204,759.8289886071681
205,910.7171617649186
206,808.9462870262818
207,279.5250481139297
208,847.7689456372337
209,899.8069764026267
210,514.4779298463602
211,455.6557633783147
212,362.36113511731196
213,536.4241030711931
214,496.781161747357
215,342.69433407582477
216,783.0487336081973
217,972.5895958310538
218,534.0351761115357
219,610.2951128861541
220,520.4814726099253
221,1271.8916441782367
222,462.34051320912647
223,932.4154335984465
224,1066.5783666792122
225,352.1620703214813
226,467.94453712326685
227,640.4651293973616
228,547.7371373057658
229,276.1575634434314
230,951.9826495544245
231,430.4337179200129
232,604.9772548447163
233,1363.7393312160802
234,505.5620899291463
235,858.0366274586795
236,967.1454745209892
237,702.2597293850422
238,872.645544134582
239,902.696966655676
240,794.3988101151001
241,588.1379355632401
242,1155.1669032380494
243,725.3230880399733
244,1079.7481813528366
245,1071.9067554209637
246,628.7577530060613
247,840.2864771413979
248,814.058584432757
249,1202.0017605920978
250,920.7900531255402
251,950.0417308716886
252,1020.4795242665074
253,1362.4922831764297
254,1109.527467128941
255,1143.6571159599375
256,863.0470785740016
257,1064.4616872933225
258,677.1479644860993
259,862.4944389107417
260,957.9196503775689
261,938.9159486644224
262,519.8287394775837
263,896.9510273652819
264,593.1036915061692
265,1350.644304684164
266,594.8415638041889
267,1031.2017443551188
268,1278.7257411275205
269,1166.626048523725
270,1091.4826396469396
271,524.8731519750887
272,708.5312397842035
273,742.5028648538251
274,1123.4115817635227
275,1148.0236227959663
276,972.3268413896125
277,1136.8642683553976
278,915.1033629246543
279,625.8627044709766
280,476.79768562553716
281,722.0981159129217
282,607.2286850835306
283,603.0087234406022
284,793.0854972411395
285,1496.8078728268003
286,1029.1886841771584
287,1484.7638171793385
288,1246.2412167873451
289,731.589938128484
290,864.8697766898889
291,607.6891250716062
292,599.2290573854676
293,651.0580665736281
294,484.0424581638394
295,410.9905253174734
296,369.3139125163285
297,332.8262787784881
298,462.8160758056868
299,297.24533205591297
300,483.41199928767855
301,485.74463059862745
302,835.2693734416218
303,321.96258550297415
304,785.5000731123102
305,736.2213333166366
306,1008.5370351803768
307,998.6297506812989
308,1044.8824475268798
309,581.0211753153144
310,867.5277058453453
311,764.8703019426939
312,317.82673720051525
313,260.0594540891054
