,rewards
0,-262.35731559511595
1,-1106.0526763068212
2,-893.9516281087858
3,-573.2814044415593
4,-157.1180200920776
5,-354.65078684282935
6,-307.7414880173254
7,-264.97393828132056
8,-366.0342670493374
9,-650.1430664415881
10,-389.2887880438904
11,-239.1250474194268
12,-649.807434769217
13,-455.264765267326
14,-199.9814393798868
15,-2069.333828156615
16,-113.9097341816036
17,-244.79145100990286
18,-453.0986486447473
19,-209.52512831406247
20,-202.5210465404602
21,-82.68048766960734
22,-339.86861293893196
23,-453.8190004888987
24,-107.49884714563026
25,-160.7564853704186
26,-67.25428771164935
27,-268.8855612203454
28,-122.36674017364481
29,-323.77721657739613
30,-205.93446462846944
31,-147.24071139947478
32,-138.92783193119823
33,-225.89568183438737
34,-265.73041063996715
35,-103.9595613021072
36,-54.24966128379616
37,-137.4833995037007
38,-93.38058066256485
39,-153.96410492699698
40,-264.6082696170073
41,-184.66848599357024
42,-95.50619060318091
43,-289.3256911143621
44,-109.07281721330335
45,-69.29875011042037
46,-145.786924614985
47,-95.39471442441166
48,-67.86865424429203
49,-78.60370926120325
50,-350.5273492538912
51,-34.02884941076796
52,-118.0027841605316
53,-56.722090697485825
54,-200.44403449362588
55,-102.19473939897165
56,-57.23801730678991
57,-37.53152692898733
58,-40.6284824356511
59,-45.780641259095354
60,-52.87202958972075
61,-49.37486139416724
62,-28.6774226386577
63,-49.78105850612804
64,-54.54008529633907
65,-96.88129110775327
66,-58.60384988718285
67,-49.613174576170515
68,-53.27402748560958
69,-39.463305961006185
70,-26.34256800420992
71,-160.58933940968805
72,-128.38759404623553
73,-23.464726760407753
74,-138.58486373385986
75,-32.71450478810154
76,-17.20646820122671
77,-8.279912361914727
78,-18.791445475448175
79,-58.60569455979107
80,-12.310530548717866
81,-37.76482656727088
82,-1.6794117841230516
83,-19.686395413030553
84,-3.6540272790728303
85,-14.889932735732502
86,-8.928691094068558
87,-8.795627101240871
88,-1.6639441889840798
89,-4.473364318032138
90,1.1988810669818282
91,-7.767332756515916
92,5.301371218682778
93,-1.3198919011946517
94,1.0265219483802046
95,3.698524652633876
96,3.2175836842113883
97,5.362018267657412
98,14.556455428981765
99,18.62872129162735
100,3.845138799719326
101,13.70090144765128
102,9.974952608285523
103,22.912026577321924
104,20.964905544137544
105,29.600514955416507
106,27.335450671056105
107,25.433459980066182
108,29.3286722083073
109,25.0881920460327
110,60.53548402755813
111,89.6415069290448
112,37.324181769311
113,45.348732489674376
114,42.10933900118146
115,34.82382470541771
116,34.78472275298273
117,85.2488603828516
118,58.919741989264715
119,84.57143167351687
120,110.20147607563209
121,64.08752770723568
122,72.2075459750569
123,73.41881686461691
124,38.91508240182264
125,90.72994076558976
126,84.81151310442438
127,152.29604300513944
128,69.24892101134763
129,95.85860238573667
130,108.19746117978767
131,68.48477827300826
132,122.41725813191574
133,132.746701419704
134,118.23468672671721
135,169.6643528008301
136,123.26295516041087
137,120.51922473961382
138,162.54087132097686
139,113.49747895535155
140,159.14597485955125
141,72.72375696624093
142,168.11099900649245
143,101.96765618460049
144,131.03541874702483
145,225.9910942730964
146,316.8560875828812
147,243.67893104403342
148,263.2210665010073
149,445.82822889922943
150,276.61224410335564
151,293.8214635030448
152,228.14153692685477
153,231.30785029689483
154,241.17946992550588
155,224.9221369546618
156,313.7387797452324
157,330.8333768870297
158,246.79636468861162
159,388.30144203091066
160,350.2006713616283
161,769.2326718408134
162,342.8290289511011
163,193.2269506471475
164,371.7624892989255
165,341.39438797006596
166,416.72719358826924
167,284.88186556022595
168,377.64946396506525
169,619.3915950689375
170,394.1159175126694
171,384.1632308916537
172,788.3704517495074
173,750.0009058063213
174,358.13484494572424
175,394.49761954607925
176,636.6173071850444
177,402.51819224247225
178,607.6927791897756
179,476.67568659993555
180,614.8080970281169
181,690.1638666913303
182,419.2884596166149
183,1001.1451297286244
184,758.6101551458812
185,912.3628590557094
186,703.8151596855031
187,844.9106718738392
188,443.2992766279889
189,585.6008164035838
190,682.376018800865
191,728.8007615247283
192,397.36810405314884
193,581.2216186622542
194,350.2926948678147
195,803.1600381128862
196,532.4245223195772
197,763.6893272678174
198,955.7841177750054
199,783.6100080939332
200,512.7007174224378
201,612.3819763877256
202,642.0579677682521
203,825.2145889386004
204,737.2993672245001
205,665.6565273469826
206,409.83851498652103
207,542.3188006555677
208,908.3027738019136
209,916.4415444536033
210,907.60484717777
211,789.3170344700014
212,1102.707212832903
213,339.7498551817422
214,669.4516560529081
215,948.3755631871749
216,787.756634681755
217,632.2502696767343
218,876.9303346050982
219,664.1302261560425
220,540.5037527396369
221,824.317911785196
222,925.7109548667036
223,566.4656982811813
224,436.9922263300995
225,419.4041196726613
226,580.9334349276064
227,707.2338857849621
228,785.7289207466143
229,1170.6132986858065
230,492.83137466116176
231,692.650444105474
232,533.6848533791471
233,899.1039319311365
234,527.1196254149176
235,439.5359231169613
236,656.0162550433938
237,475.89609736606116
238,463.183393343704
239,948.4724770489648
240,310.6443321184442
241,919.9054165839789
242,418.3246315113212
