,rewards
294,-1076.6525488747657
295,-1060.977637792456
296,-1050.7932614593196
297,-1064.408613895139
298,-1054.3373820809477
299,-1082.808211957729
300,-1029.4397581420649
301,-1038.0828882383926
302,-1076.7544937717626
303,-1082.7301608080145
304,-1043.4665310552361
305,-1063.6425292775216
306,-1080.5620071563264
307,-1086.2197667999933
308,-1042.1037423642977
309,-1049.6026496590366
310,-1051.6106234728402
311,-1046.6048650186594
312,-1077.0300818087335
313,-1044.138917377408
314,-1035.8851574403584
315,-1046.5833270911937
316,-1072.569017787812
317,-1074.2362015086296
318,-1049.1647252997234
319,-1043.121631984677
320,-1059.864487116834
321,-1040.7376670480721
322,-1056.1849805538081
323,-1064.3133274647894
324,-1053.0747716935557
325,-1034.755323234298
326,-1036.5490092984296
327,-1052.3457690407633
328,-1089.1306307407183
329,-1053.8095642145295
330,-1069.6711009151209
331,-1050.0192781938163
332,-1080.2290026672165
333,-1039.0643959201739
334,-1066.9270401240742
335,-1077.7141590687913
336,-1047.28996661766
337,-1078.830333484336
338,-1063.3361453351758
339,-1065.4659066148463
340,-1062.5358856092034
341,-1064.4483825013733
342,-1059.1324387146492
343,-1069.0357326802864
344,-1054.9473125995892
345,-1062.5717622174539
346,-1040.1349363314011
347,-1064.6697465392683
348,-1094.8436896803478
349,-1052.6976911224597
350,-1063.0809428078878
351,-1063.0737758485595
352,-1050.0015211490745
353,-1069.375673227457
354,-1038.1644695627135
355,-1077.359563361161
356,-1100.86486957641
357,-1070.9719184802664
358,-1057.6604522908806
359,-1039.4923780206589
360,-1046.2167367061716
361,-1059.0086002575151
362,-1082.5531164665676
363,-1054.7667943826254
364,-1089.964436362135
365,-1053.6392744002828
366,-1112.5891746086406
367,-1095.9264680760875
368,-1061.081487737718
369,-1073.4014227492835
370,-1117.1275218296776
371,-1059.2373950219805
372,-1092.2662714548708
373,-1095.5554476006148
374,-1072.9177692786543
375,-1062.8231485089314
376,-1094.2182346813192
377,-1060.298975127737
378,-1096.0607021916621
379,-1083.4142569835897
380,-1071.597565622469
381,-1054.6782928995176
382,-1055.9255461170255
383,-1110.9436619862906
384,-1121.0327876422152
385,-1087.708212504312
386,-1047.4144921006848
387,-1074.594155825451
388,-1071.2567095537609
389,-1074.6479059613198
390,-1091.968840888217
