,rewards
425,-1159.6016763526488
426,-1172.9343690249977
427,-1173.4417748842213
428,-1237.4204090272337
429,-1204.2106809726795
430,-1084.761568542535
431,-1175.203433578797
432,-1218.092434030646
433,-1454.8791714228853
434,-1197.452809890242
435,-1174.4919294741092
436,-1187.1564792869844
437,-1065.680992719534
438,-1438.4929646695994
439,-1076.4121908063846
440,-1496.1242689919561
441,-1183.7735200629322
442,-1141.8630975743913
443,-1169.0054292377035
444,-928.8613981067375
445,-1117.9939338382774
446,-1318.9825680957906
447,-1068.3917066168945
448,-1088.3137242659166
449,-1217.045326620638
450,-1123.5143974790017
451,-1472.6093457532022
452,-1039.945245867962
453,-1361.117993902066
454,-1128.689975675396
455,-1123.4642904713498
456,-1031.7388510658448
457,-1077.1819694592011
458,-1061.974356623057
459,-1219.545449786679
460,-1146.3062598364425
461,-1282.8408056051035
462,-1062.098005936617
463,-1069.4994161947188
464,-1014.1050378778748
465,-1103.8089715703825
466,-1001.0935692961317
467,-1387.8103885828218
468,-1248.410410618639
469,-1039.9258857814207
470,-1119.3967885026814
471,-1011.4559665415208
472,-1021.1449663271155
473,-1114.4692935461196
474,-1129.4266251802137
475,-1185.0898351085689
476,-1062.5959465296141
477,-1105.3612033576426
478,-1320.8565061124677
479,-1189.3777883507707
480,-1190.6303713585469
481,-1161.1113676643208
482,-1099.6238856535717
483,-1256.405427044298
484,-1257.974848006827
485,-1094.3175822088842
486,-1227.0752255038115
487,-1074.8456115748695
488,-931.0400312488609
489,-1096.6676360793194
490,-1096.2180414063837
491,-1050.0720071382448
492,-1055.098337474756
493,-1233.0688484603058
494,-1049.821707214098
495,-974.8558211272085
496,-1412.4168609553542
497,-1049.1802003278879
498,-1020.3100916395316
499,-1200.3161425046824
500,-1126.663604054442
501,-1039.5655457005794
502,-1267.9497723208042
503,-1163.6112418702364
504,-1122.042970489617
505,-982.0740805860877
506,-1206.1341259738078
507,-1137.928570124071
508,-1239.1876239248984
509,-1136.7533181717015
510,-969.1946318485022
511,-1478.4133822358845
512,-1010.0890676755699
513,-1043.739742015641
514,-1028.8113417723177
515,-1035.6161446314375
516,-1426.5436269307706
517,-1153.7954062881781
518,-1217.8493146346602
519,-1036.099121232169
520,-1075.3576048440677
521,-1466.3913291803037
522,-1072.508260395548
523,-1154.2459115232957
524,-1239.3620851322526
525,-1133.951161530623
526,-1042.7417110804172
527,-1088.655834673898
528,-1147.5868350090166
529,-1182.64273659656
530,-1073.2813226387323
531,-1192.83166142715
532,-1125.914354715297
533,-1047.2249922115996
534,-1283.1854102737043
535,-1106.6650152284965
536,-1076.353569667437
537,-1062.7017493144833
538,-1364.7694334066694
539,-1201.398747344226
540,-1164.3724163841198
541,-1072.7138039407796
542,-1157.542397784207
543,-1028.0948981762529
544,-1128.8978059426308
545,-1121.9960944681488
546,-916.5928960216113
547,-1063.1176621192096
548,-1204.2797607052883
549,-979.6009024235947
550,-1042.0806734790144
551,-1210.973759811862
552,-1179.4766550008462
553,-1146.0087160321216
554,-1225.0187698997527
555,-936.5159008737693
556,-1142.9481456049002
557,-1018.5262442403844
558,-1103.9467785808945
559,-1121.0454755388716
560,-1029.1350718908488
561,-1058.294754774002
562,-1290.036670773921
563,-1342.9794679118504
564,-1121.1332937632606
565,-1077.8805913287288
566,-1149.8510763830132
567,-1025.8846603873774
568,-1052.797469234855
569,-1116.9416463908728
570,-1153.9284440200995
571,-1144.650218289545
572,-1143.5370281736014
573,-1196.1861898559687
574,-1090.068837445377
575,-1073.9699354528764
576,-1214.430589456449
577,-1199.680923048096
578,-1064.6902885279756
579,-1008.8246899302135
580,-1126.5489751512312
581,-1124.333241519102
582,-1291.7937616046718
583,-1158.9224769380653
584,-1068.2093611003213
585,-1182.8369283234192
586,-1192.189690053044
587,-1204.9320427496912
588,-1174.468708194002
589,-1113.5164010053907
590,-1183.8634989756488
591,-1151.425045259189
592,-1133.8072629142073
593,-1299.247818116871
594,-1070.2266354559445
595,-1213.872406748646
596,-1212.2126503420811
597,-1279.1555976352727
598,-1260.650728428489
599,-1212.8516554613477
600,-1202.1816097156059
601,-1355.9998272311502
602,-1160.307484458479
603,-1429.0195480182224
604,-1159.4586311039022
605,-1145.0035869196715
606,-1075.7764665579148
607,-1279.4037894566181
608,-1225.2121751141085
609,-1190.369570718169
610,-1049.3567563735792
611,-1233.7675724677017
612,-1083.2450780176023
613,-1199.479513088596
614,-1199.094780865735
615,-1270.6127594358816
616,-1202.8226207789785
617,-1201.1457640032895
618,-1287.374038093358
619,-1204.4218399531676
620,-1151.0121146860033
621,-1263.9908539444345
622,-1199.591571785763
623,-1217.1281916865485
624,-1196.431758008479
625,-1173.8125806850771
626,-1295.808629391713
627,-1278.968376734819
628,-1206.7369517552054
629,-1115.0562529193016
630,-1181.7402847617288
631,-1051.3325209190646
632,-1217.5134563547813
633,-1182.2590955339294
