,rewards
532,175.0
533,143.0
534,176.0
535,137.0
536,159.0
537,160.0
538,155.0
539,151.0
540,170.0
541,127.0
542,152.0
543,196.0
544,157.0
545,146.0
546,150.0
547,128.0
548,154.0
549,154.0
550,184.0
551,186.0
552,154.0
553,151.0
554,194.0
555,149.0
556,178.0
557,157.0
558,168.0
559,131.0
560,153.0
561,143.0
562,144.0
563,153.0
564,185.0
565,203.0
566,146.0
567,158.0
568,154.0
569,153.0
570,149.0
571,144.0
572,135.0
573,195.0
574,164.0
575,136.0
576,169.0
577,187.0
578,170.0
579,165.0
580,145.0
581,151.0
582,158.0
583,137.0
584,146.0
585,169.0
586,168.0
587,153.0
588,155.0
589,160.0
590,156.0
591,133.0
592,150.0
593,193.0
594,161.0
595,153.0
596,141.0
597,197.0
598,172.0
599,149.0
600,199.0
601,151.0
602,140.0
603,147.0
604,147.0
605,192.0
606,134.0
607,137.0
608,157.0
609,147.0
610,162.0
611,149.0
612,160.0
613,156.0
614,146.0
615,159.0
616,152.0
617,154.0
618,138.0
619,140.0
620,142.0
621,125.0
622,159.0
623,140.0
624,152.0
625,158.0
626,185.0
627,143.0
628,148.0
629,140.0
630,155.0
631,136.0
632,169.0
633,144.0
634,156.0
635,149.0
636,155.0
637,140.0
638,169.0
639,182.0
640,187.0
641,156.0
642,139.0
643,145.0
644,154.0
645,154.0
646,130.0
647,156.0
648,155.0
649,191.0
650,145.0
651,160.0
652,155.0
653,169.0
654,161.0
655,142.0
656,185.0
657,162.0
658,230.0
659,146.0
660,174.0
661,178.0
662,138.0
663,147.0
664,130.0
665,133.0
666,133.0
667,131.0
668,156.0
669,213.0
670,143.0
671,135.0
672,130.0
673,170.0
674,177.0
675,177.0
676,203.0
677,133.0
678,129.0
679,138.0
680,131.0
681,191.0
682,160.0
683,136.0
684,150.0
685,154.0
686,125.0
687,159.0
688,189.0
689,191.0
690,187.0
691,142.0
692,193.0
693,152.0
694,167.0
695,162.0
696,139.0
697,159.0
698,176.0
699,137.0
700,179.0
701,182.0
702,130.0
703,143.0
704,148.0
705,122.0
706,147.0
707,157.0
708,157.0
709,150.0
710,123.0
711,180.0
712,145.0
713,163.0
714,149.0
715,158.0
716,160.0
717,145.0
718,166.0
719,150.0
720,163.0
721,159.0
722,143.0
723,133.0
724,155.0
725,183.0
726,130.0
727,137.0
728,184.0
729,388.0
730,162.0
731,166.0
732,160.0
733,166.0
734,161.0
735,137.0
736,147.0
737,169.0
738,177.0
739,161.0
740,148.0
741,160.0
742,168.0
743,138.0
744,141.0
745,251.0
746,137.0
747,148.0
748,139.0
749,165.0
750,130.0
751,151.0
752,167.0
753,152.0
754,142.0
755,147.0
756,176.0
757,146.0
758,141.0
759,150.0
760,188.0
761,155.0
762,137.0
763,145.0
764,148.0
765,143.0
766,148.0
767,150.0
768,182.0
769,180.0
770,151.0
771,164.0
772,161.0
773,167.0
774,144.0
775,202.0
776,148.0
777,176.0
778,143.0
779,188.0
780,153.0
781,208.0
782,178.0
783,180.0
784,177.0
785,145.0
786,135.0
787,145.0
788,131.0
789,227.0
790,161.0
791,188.0
792,218.0
793,176.0
794,179.0
795,160.0
796,215.0
797,141.0
798,203.0
799,159.0
800,218.0
801,151.0
802,153.0
803,160.0
804,134.0
805,179.0
806,169.0
807,182.0
808,141.0
809,141.0
810,140.0
811,155.0
812,165.0
813,183.0
814,148.0
815,183.0
816,240.0
817,193.0
818,155.0
819,148.0
820,141.0
821,186.0
822,142.0
823,221.0
824,165.0
825,166.0
826,146.0
827,173.0
828,167.0
829,161.0
830,157.0
831,136.0
832,202.0
833,176.0
834,148.0
835,168.0
836,139.0
837,148.0
838,178.0
