,rewards
485,21.0
486,21.0
487,20.0
488,19.0
489,20.0
490,21.0
491,19.0
492,19.0
493,20.0
494,19.0
495,19.0
496,21.0
497,20.0
498,21.0
499,21.0
500,21.0
501,19.0
502,21.0
503,21.0
504,20.0
505,21.0
506,20.0
507,18.0
508,20.0
509,21.0
510,21.0
511,20.0
512,21.0
513,20.0
514,20.0
515,21.0
516,20.0
517,21.0
518,18.0
519,19.0
520,21.0
521,20.0
522,21.0
523,20.0
524,20.0
525,19.0
526,20.0
527,20.0
528,20.0
529,20.0
530,21.0
531,19.0
532,20.0
533,21.0
534,20.0
535,20.0
536,20.0
537,19.0
538,19.0
539,19.0
540,21.0
541,20.0
542,19.0
543,21.0
544,19.0
545,20.0
546,21.0
547,20.0
548,21.0
549,18.0
550,21.0
551,19.0
552,21.0
553,21.0
554,19.0
555,21.0
556,19.0
557,21.0
558,21.0
559,19.0
560,21.0
561,20.0
562,20.0
563,21.0
564,21.0
565,21.0
566,21.0
567,16.0
568,19.0
569,20.0
570,21.0
571,21.0
572,21.0
573,20.0
574,20.0
575,18.0
576,21.0
577,20.0
578,19.0
579,21.0
580,20.0
581,21.0
582,21.0
583,21.0
584,20.0
585,20.0
586,21.0
587,21.0
588,20.0
589,18.0
590,20.0
591,20.0
592,21.0
593,19.0
594,21.0
595,20.0
596,21.0
597,18.0
598,20.0
599,20.0
600,21.0
601,21.0
602,21.0
603,21.0
604,20.0
605,20.0
606,21.0
607,21.0
608,21.0
609,20.0
610,21.0
611,20.0
612,21.0
613,21.0
614,21.0
615,21.0
616,21.0
617,20.0
618,21.0
619,21.0
620,21.0
621,20.0
622,21.0
623,21.0
624,21.0
625,21.0
626,21.0
627,21.0
628,20.0
629,20.0
630,19.0
631,18.0
632,20.0
633,21.0
634,18.0
635,18.0
636,19.0
637,21.0
638,20.0
639,20.0
640,21.0
641,20.0
642,20.0
643,21.0
644,21.0
645,21.0
646,21.0
647,19.0
648,20.0
649,20.0
650,19.0
651,20.0
652,20.0
653,21.0
654,18.0
655,21.0
656,20.0
657,21.0
658,21.0
659,21.0
660,21.0
661,21.0
662,21.0
663,20.0
664,21.0
665,21.0
666,21.0
667,20.0
668,19.0
669,21.0
670,20.0
671,21.0
672,21.0
673,21.0
674,20.0
675,20.0
676,20.0
677,21.0
678,21.0
679,21.0
680,20.0
681,20.0
682,21.0
683,20.0
684,21.0
685,21.0
686,19.0
687,21.0
688,20.0
689,21.0
690,20.0
691,20.0
692,18.0
693,21.0
694,20.0
695,20.0
696,21.0
697,21.0
698,21.0
699,21.0
700,20.0
701,21.0
702,21.0
703,20.0
704,21.0
705,19.0
706,21.0
707,19.0
708,21.0
709,21.0
710,21.0
711,20.0
712,20.0
713,20.0
714,20.0
715,20.0
716,21.0
717,21.0
718,21.0
719,21.0
720,21.0
721,20.0
722,21.0
723,21.0
724,21.0
725,20.0
726,21.0
727,20.0
728,20.0
729,20.0
730,20.0
731,21.0
732,21.0
733,21.0
734,21.0
735,21.0
736,20.0
737,20.0
738,19.0
739,21.0
740,21.0
741,20.0
742,21.0
743,19.0
744,20.0
745,21.0
746,19.0
747,21.0
748,20.0
749,21.0
750,20.0
751,20.0
752,21.0
753,20.0
754,21.0
755,21.0
756,21.0
757,20.0
758,21.0
759,19.0
760,21.0
761,19.0
762,21.0
763,19.0
764,20.0
765,20.0
766,21.0
767,20.0
768,19.0
769,20.0
